Period,Promoters +,FIIs +,DIIs +,Public +,No. of Shareholders,Stock,Government +,Others +
2023-06-01,25.94%,41.54%,19.57%,12.92%,560825,KOTAKBANK,,
2023-06-01,39.47%,25.91%,11.78%,21.55%,471896,KPITTECH,,1.29%
2023-06-01,27.20%,22.52%,10.36%,39.93%,417977,LAURUSLABS,,
2023-06-01,69.66%,6.41%,6.11%,17.84%,68944,MOTILALOFS,,
2023-06-01,60.79%,6.99%,18.00%,14.20%,737733,NMDC,,
2023-06-01,,72.11%,3.54%,24.35%,1034995,PAYTM,,
2023-06-01,61.20%,3.13%,7.13%,28.32%,13936,PGEL,,0.21%
2023-06-01,32.82%,18.30%,8.40%,40.48%,277224,PRAJIND,,
2023-06-01,50.39%,22.55%,16.13%,10.76%,3506867,RELIANCE,0.17%,
2023-06-01,65.00%,3.82%,13.63%,17.56%,1499836,SAIL,0.00%,
2023-06-01,71.89%,9.93%,0.28%,17.89%,26132,SKIPPER,,
2023-06-01,14.50%,7.79%,5.90%,71.78%,2490961,SUZLON,0.02%,
2023-06-01,46.39%,17.72%,17.38%,18.38%,3502408,TATAMOTORS,0.14%,
2023-06-01,68.11%,7.48%,9.98%,14.29%,1565264,VEDL,0.07%,0.08%
2023-06-01,,23.79%,37.72%,38.47%,4904795,YESBANK,0.01%,
2023-06-01,74.98%,4.04%,13.44%,7.47%,311764,ZYDUSLIFE,0.07%,
2023-09-01,75.00%,10.18%,7.37%,7.47%,112399,ABB,,
2023-09-01,56.26%,18.16%,1.49%,24.09%,676271,ADANIGREEN,,
2023-09-01,65.53%,13.83%,13.27%,7.37%,944166,ADANIPORTS,0.00%,
2023-09-01,51.14%,17.19%,24.19%,7.49%,974782,BEL,,
2023-09-01,63.17%,7.23%,15.99%,13.62%,1227658,BHEL,,
2023-09-01,15.00%,15.25%,21.80%,47.94%,809315,CDSL,,
2023-09-01,33.46%,25.74%,23.90%,16.68%,426863,CIPLA,0.21%,
2023-09-01,26.66%,28.19%,21.04%,23.93%,243445,DRREDDY,,0.18%
2023-09-01,45.99%,12.81%,19.05%,22.14%,818681,EXIDEIND,,
2023-09-01,71.64%,12.63%,9.72%,6.02%,491969,HAL,0.00%,
2023-09-01,64.92%,0.75%,2.98%,1.81%,375833,HINDZINC,29.54%,
2023-09-01,50.36%,2.46%,1.80%,12.19%,3104410,IDEA,33.18%,
2023-09-01,86.36%,1.14%,1.63%,10.88%,2703000,IRFC,,
2023-09-01,46.77%,21.58%,13.64%,17.86%,3983144,JIOFIN,0.13%,
2023-09-01,56.47%,18.82%,8.06%,16.66%,119301,JMFINANCIL,,
2023-09-01,63.57%,9.90%,15.58%,10.94%,67588,KAYNES,,
2023-09-01,74.45%,2.64%,3.96%,18.95%,42339,KOLTEPATIL,,
2023-09-01,25.92%,40.97%,20.00%,13.11%,635299,KOTAKBANK,,
2023-09-01,39.47%,25.69%,12.25%,21.46%,496051,KPITTECH,,1.14%
2023-09-01,27.20%,24.03%,11.01%,37.75%,402640,LAURUSLABS,,
2023-09-01,69.53%,6.29%,6.29%,17.90%,63583,MOTILALOFS,,
2023-09-01,60.79%,8.32%,17.73%,13.16%,739395,NMDC,,
2023-09-01,,60.92%,4.05%,35.02%,1012892,PAYTM,,
2023-09-01,53.59%,8.96%,12.63%,24.62%,18251,PGEL,,0.19%
2023-09-01,32.82%,17.93%,10.20%,39.04%,296931,PRAJIND,,
2023-09-01,50.27%,22.60%,15.99%,10.98%,3698648,RELIANCE,0.17%,
2023-09-01,65.00%,3.69%,14.61%,16.70%,1483371,SAIL,0.00%,
2023-09-01,71.89%,8.09%,0.15%,19.85%,38425,SKIPPER,,
2023-09-01,13.28%,10.88%,9.81%,65.99%,2868152,SUZLON,0.02%,
2023-09-01,46.38%,18.40%,17.37%,17.70%,3773314,TATAMOTORS,0.14%,
2023-09-01,63.71%,7.82%,10.59%,17.74%,1942800,VEDL,0.07%,0.08%
2023-09-01,,23.39%,40.68%,35.90%,4888441,YESBANK,0.01%,
2023-09-01,74.98%,4.85%,13.01%,7.07%,297953,ZYDUSLIFE,0.07%,
2023-12-01,75.00%,10.72%,6.92%,7.36%,102093,ABB,,
2023-12-01,56.37%,18.03%,1.50%,24.10%,693064,ADANIGREEN,,
2023-12-01,65.89%,14.72%,12.01%,7.39%,970247,ADANIPORTS,0.00%,
2023-12-01,51.14%,17.77%,23.37%,7.72%,1098228,BEL,,
2023-12-01,63.17%,7.04%,17.58%,12.23%,1265436,BHEL,,
2023-12-01,15.00%,18.16%,21.33%,45.51%,777030,CDSL,,
2023-12-01,33.46%,25.73%,24.05%,16.53%,425731,CIPLA,0.21%,
2023-12-01,26.65%,28.62%,18.65%,25.89%,257794,DRREDDY,,0.18%
2023-12-01,45.99%,12.94%,19.24%,21.82%,863842,EXIDEIND,,
2023-12-01,71.64%,12.93%,9.13%,6.28%,619151,HAL,0.00%,
2023-12-01,64.92%,0.69%,2.97%,1.88%,401985,HINDZINC,29.54%,
2023-12-01,50.36%,2.27%,3.05%,11.14%,3124128,IDEA,33.18%,
2023-12-01,86.36%,1.15%,1.15%,11.34%,3251993,IRFC,,
2023-12-01,47.12%,19.83%,12.99%,19.92%,4083129,JIOFIN,0.14%,
2023-12-01,56.44%,17.92%,8.46%,17.17%,135103,JMFINANCIL,,
2023-12-01,57.83%,12.71%,19.04%,10.41%,86158,KAYNES,,
2023-12-01,74.45%,2.59%,4.51%,18.45%,42891,KOLTEPATIL,,
2023-12-01,25.91%,39.74%,21.38%,12.98%,634698,KOTAKBANK,,
2023-12-01,39.47%,26.48%,11.60%,21.33%,508158,KPITTECH,,1.10%
2023-12-01,27.18%,25.39%,11.13%,36.30%,382880,LAURUSLABS,,
2023-12-01,69.39%,6.48%,6.76%,17.36%,61732,MOTILALOFS,,
2023-12-01,60.79%,9.91%,17.33%,11.96%,749330,NMDC,,
2023-12-01,,63.72%,6.07%,30.22%,1128929,PAYTM,,
2023-12-01,53.59%,10.77%,12.36%,23.27%,17837,PGEL,,0.01%
2023-12-01,32.81%,17.37%,13.09%,36.74%,314475,PRAJIND,,
2023-12-01,50.30%,22.13%,16.59%,10.80%,3613814,RELIANCE,0.18%,
2023-12-01,65.00%,4.34%,15.46%,15.20%,1503779,SAIL,0.00%,
2023-12-01,71.89%,7.40%,0.15%,20.57%,44633,SKIPPER,,
2023-12-01,13.28%,17.83%,6.16%,62.74%,3512040,SUZLON,0.00%,
2023-12-01,46.37%,18.62%,17.25%,17.60%,4184369,TATAMOTORS,0.14%,
2023-12-01,63.71%,7.74%,11.19%,17.23%,1909460,VEDL,0.07%,0.06%
2023-12-01,,23.79%,41.98%,34.21%,4994636,YESBANK,0.01%,
2023-12-01,74.98%,4.99%,12.96%,6.99%,306495,ZYDUSLIFE,0.07%,
2024-03-01,75.00%,11.89%,5.95%,7.15%,102557,ABB,,
2024-03-01,56.37%,18.15%,1.55%,23.93%,668586,ADANIGREEN,,
2024-03-01,65.89%,14.98%,11.84%,7.30%,991001,ADANIPORTS,0.00%,
2024-03-01,51.14%,17.56%,22.63%,8.66%,1364873,BEL,,
2024-03-01,63.17%,8.76%,15.95%,12.14%,1499202,BHEL,,
2024-03-01,15.00%,11.38%,23.15%,50.47%,843101,CDSL,,
2024-03-01,33.46%,25.82%,24.15%,16.36%,436154,CIPLA,0.21%,
2024-03-01,26.65%,29.13%,18.31%,25.73%,255500,DRREDDY,,0.17%
2024-03-01,45.99%,13.57%,18.57%,21.88%,943331,EXIDEIND,,
2024-03-01,71.64%,12.42%,9.58%,6.36%,714091,HAL,0.00%,
2024-03-01,64.92%,0.60%,2.98%,1.97%,422072,HINDZINC,29.54%,
2024-03-01,48.91%,1.97%,2.20%,14.69%,3679061,IDEA,32.23%,
2024-03-01,86.36%,1.08%,0.89%,11.68%,4526341,IRFC,,
2024-03-01,47.12%,19.45%,12.50%,20.77%,4399041,JIOFIN,0.14%,
2024-03-01,56.44%,18.19%,8.46%,16.91%,158446,JMFINANCIL,,
2024-03-01,57.83%,14.19%,18.36%,9.61%,97423,KAYNES,,
2024-03-01,69.45%,4.77%,6.02%,19.77%,44476,KOLTEPATIL,,
2024-03-01,25.90%,37.59%,23.40%,13.11%,681301,KOTAKBANK,,
2024-03-01,39.47%,23.98%,14.00%,21.49%,532946,KPITTECH,,1.07%
2024-03-01,27.18%,25.98%,11.78%,35.07%,356830,LAURUSLABS,,
2024-03-01,69.16%,6.73%,6.94%,17.16%,67231,MOTILALOFS,,
2024-03-01,60.79%,12.60%,14.09%,12.51%,857003,NMDC,,
2024-03-01,,60.41%,6.85%,32.75%,1231219,PAYTM,,
2024-03-01,53.70%,11.02%,10.94%,24.33%,20678,PGEL,,0.00%
2024-03-01,32.81%,18.87%,13.69%,34.64%,324849,PRAJIND,,
2024-03-01,50.31%,22.06%,16.98%,10.46%,3463276,RELIANCE,0.19%,
2024-03-01,65.00%,3.18%,15.86%,15.96%,1643073,SAIL,0.00%,
2024-03-01,66.47%,4.60%,0.20%,28.72%,59503,SKIPPER,,
2024-03-01,13.28%,19.57%,6.30%,60.85%,4355169,SUZLON,0.00%,
2024-03-01,46.36%,19.20%,16.01%,18.31%,4616908,TATAMOTORS,0.14%,
2024-03-01,61.95%,8.77%,13.15%,15.86%,1785798,VEDL,0.07%,0.18%
2024-03-01,,22.01%,41.50%,36.47%,6154888,YESBANK,0.01%,
2024-03-01,74.98%,5.72%,12.55%,6.66%,294324,ZYDUSLIFE,0.07%,
2024-06-01,75.00%,12.06%,5.64%,7.29%,132505,ABB,,
2024-06-01,57.51%,16.91%,1.46%,24.11%,742579,ADANIGREEN,,
2024-06-01,65.89%,15.19%,12.48%,6.44%,1274010,ADANIPORTS,0.00%,
2024-06-01,51.14%,17.43%,20.62%,10.82%,2518663,BEL,,
2024-06-01,63.17%,9.10%,15.03%,12.71%,1880851,BHEL,,
2024-06-01,15.00%,14.00%,24.92%,46.09%,828805,CDSL,,
2024-06-01,30.91%,27.82%,24.66%,16.40%,463569,CIPLA,0.21%,
2024-06-01,26.65%,27.68%,20.72%,24.78%,267694,DRREDDY,,0.17%
2024-06-01,45.99%,13.74%,17.87%,22.39%,1075626,EXIDEIND,,
2024-06-01,71.64%,11.68%,8.81%,7.86%,1116204,HAL,0.00%,
2024-06-01,64.92%,0.74%,3.01%,1.78%,445929,HINDZINC,29.54%,
2024-06-01,38.17%,12.67%,7.44%,17.89%,4758354,IDEA,23.80%,
2024-06-01,86.36%,1.11%,1.08%,11.45%,5108893,IRFC,,
2024-06-01,47.12%,17.55%,11.79%,23.39%,4802851,JIOFIN,0.15%,
2024-06-01,56.43%,16.83%,8.63%,18.11%,163944,JMFINANCIL,,
2024-06-01,57.83%,14.27%,17.88%,10.03%,112176,KAYNES,,
2024-06-01,69.45%,4.51%,4.96%,21.09%,48392,KOLTEPATIL,,
2024-06-01,25.89%,33.16%,27.69%,13.26%,782680,KOTAKBANK,,
2024-06-01,39.47%,22.23%,16.64%,20.63%,534018,KPITTECH,,1.02%
2024-06-01,27.18%,25.67%,13.56%,33.59%,324059,LAURUSLABS,,
2024-06-01,69.04%,6.46%,6.06%,18.42%,135984,MOTILALOFS,,
2024-06-01,60.79%,12.76%,14.31%,12.12%,893897,NMDC,,
2024-06-01,,58.25%,7.04%,34.73%,1166854,PAYTM,,
2024-06-01,53.56%,11.07%,9.89%,25.22%,35492,PGEL,,0.26%
2024-06-01,32.81%,18.55%,16.65%,31.99%,327689,PRAJIND,,
2024-06-01,50.33%,21.75%,17.30%,10.43%,3493125,RELIANCE,0.19%,
2024-06-01,65.00%,3.01%,15.72%,16.27%,1842454,SAIL,0.00%,
2024-06-01,66.48%,3.64%,0.24%,29.65%,63082,SKIPPER,,
2024-06-01,13.26%,21.53%,9.16%,56.03%,4196133,SUZLON,0.00%,
2024-06-01,46.36%,18.18%,15.93%,19.39%,5098550,TATAMOTORS,0.14%,
2024-06-01,59.31%,10.23%,14.78%,15.41%,1792821,VEDL,0.07%,0.18%
2024-06-01,,27.08%,38.10%,34.82%,6301444,YESBANK,0.01%,
2024-06-01,74.98%,5.59%,12.56%,6.81%,336309,ZYDUSLIFE,0.07%,
2024-09-01,75.00%,12.28%,5.42%,7.29%,138259,ABB,,
2024-09-01,60.93%,15.16%,1.45%,22.45%,628425,ADANIGREEN,,
2024-09-01,65.89%,15.22%,13.26%,5.62%,1186670,ADANIPORTS,0.00%,
2024-09-01,51.14%,17.27%,20.22%,11.37%,2772002,BEL,,
2024-09-01,63.17%,9.48%,14.69%,12.66%,1995266,BHEL,,
2024-09-01,15.00%,13.77%,21.57%,49.66%,1103616,CDSL,,
2024-09-01,30.93%,28.80%,23.95%,16.11%,470234,CIPLA,0.21%,
2024-09-01,26.64%,27.53%,21.48%,24.20%,310403,DRREDDY,,0.16%
2024-09-01,45.99%,12.31%,17.96%,23.73%,1196190,EXIDEIND,,
2024-09-01,71.64%,11.85%,8.37%,8.13%,1272495,HAL,0.00%,
2024-09-01,63.42%,1.01%,3.12%,2.92%,624025,HINDZINC,29.54%,
2024-09-01,37.32%,12.69%,4.86%,21.94%,5369114,IDEA,23.18%,
2024-09-01,86.36%,1.09%,1.08%,11.48%,5500054,IRFC,,
2024-09-01,47.12%,16.88%,11.39%,24.46%,4860795,JIOFIN,0.15%,
2024-09-01,56.43%,15.31%,8.57%,19.70%,162210,JMFINANCIL,,
2024-09-01,57.75%,14.92%,16.07%,11.25%,156829,KAYNES,,
2024-09-01,69.45%,3.13%,5.19%,22.24%,54799,KOLTEPATIL,,
2024-09-01,25.88%,33.39%,27.88%,12.84%,739755,KOTAKBANK,,
2024-09-01,39.47%,20.95%,17.52%,21.11%,559643,KPITTECH,,0.97%
2024-09-01,27.18%,26.08%,13.05%,33.69%,309063,LAURUSLABS,,
2024-09-01,68.86%,6.34%,6.41%,18.39%,163551,MOTILALOFS,,
2024-09-01,60.79%,12.60%,14.08%,12.52%,968552,NMDC,,
2024-09-01,,55.53%,8.29%,36.17%,1049976,PAYTM,,
2024-09-01,53.42%,10.69%,9.80%,25.91%,103595,PGEL,,0.19%
2024-09-01,32.81%,19.03%,17.34%,30.82%,349924,PRAJIND,,
2024-09-01,50.24%,21.30%,17.61%,10.67%,3834968,RELIANCE,0.19%,
2024-09-01,65.00%,2.82%,16.04%,16.15%,1988076,SAIL,0.00%,
2024-09-01,66.48%,4.39%,0.24%,28.89%,70015,SKIPPER,,
2024-09-01,13.25%,23.72%,9.02%,54.02%,4994345,SUZLON,0.00%,
2024-09-01,42.58%,20.54%,16.08%,20.49%,5727234,TATAMOTORS,0.29%,
2024-09-01,56.38%,11.45%,16.29%,15.64%,1866939,VEDL,0.07%,0.16%
2024-09-01,,27.00%,38.20%,34.78%,6247735,YESBANK,0.01%,
2024-09-01,74.98%,7.52%,10.59%,6.85%,370863,ZYDUSLIFE,0.05%,
2024-12-01,75.00%,11.85%,5.70%,7.45%,148890,ABB,,
2024-12-01,60.93%,13.68%,1.73%,23.64%,900770,ADANIGREEN,,
2024-12-01,65.89%,13.94%,14.20%,5.96%,1253858,ADANIPORTS,0.00%,
2024-12-01,51.14%,17.34%,20.94%,10.58%,2653676,BEL,,
2024-12-01,63.17%,7.98%,15.49%,13.36%,2083026,BHEL,,
2024-12-01,15.00%,17.15%,19.11%,48.74%,1173419,CDSL,,
2024-12-01,29.19%,26.65%,27.49%,16.43%,525114,CIPLA,0.23%,
2024-12-01,26.64%,26.85%,22.89%,23.46%,403669,DRREDDY,,0.16%
2024-12-01,45.99%,11.72%,17.64%,24.63%,1281235,EXIDEIND,,
2024-12-01,71.64%,12.26%,8.13%,7.95%,1275632,HAL,0.03%,
