Period,Stock,Total Assets,Investments,Borrowings,Sales,Net Profit,EPS in Rs,Dividend Payout %,Net Cash Flow
2021-03-01,HINDZINC,45727.0,12957.0,7201.0,22629.0,7980,18.89,113%,-1565.0
2021-03-01,IDEA,203478.0,4.0,201720.0,41952.0,-44233,-15.39,0%,-17.0
2021-03-01,JMFINANCIL,23378.0,5802.0,12405.0,3211.0,808,6.19,8%,16.0
2021-03-01,KAYNES,419.0,2.0,141.0,421.0,10,14.31,0%,2.0
2021-03-01,KOLTEPATIL,3901.0,18.0,678.0,692.0,-5,-0.73,0%,32.0
2021-03-01,KOTAKBANK,478854.0,156946.0,,,9990,50.41,2%,-16363.0
2021-03-01,KPITTECH,1968.0,127.0,230.0,2036.0,147,5.33,28%,10.0
2021-03-01,LAURUSLABS,5751.0,3.0,1482.0,4814.0,984,18.33,11%,47.0
2021-03-01,MOTILALOFS,14041.0,3922.0,5693.0,3626.0,1265,21.49,12%,449.0
2021-03-01,NMDC,36930.0,875.0,2000.0,15370.0,6277,7.14,36%,359.0
2021-03-01,PAYTM,9151.0,413.0,612.0,2801.0,-1701,-280.42,0%,-371.0
2021-03-01,PGEL,580.0,0.0,185.0,703.0,12,0.59,0%,-4.0
2021-03-01,PRAJIND,1594.0,335.0,18.0,1305.0,81,4.42,49%,55.0
2021-03-01,RELIANCE,1320065.0,364828.0,278962.0,466307.0,53739,38.75,9%,-13523.0
2021-03-01,SAIL,118090.0,3442.0,37677.0,69114.0,4148,10.04,28%,328.0
2021-03-01,SKIPPER,1919.0,10.0,448.0,1582.0,21,1.9,5%,0.0
2021-03-01,SUZLON,6601.0,23.0,6925.0,3346.0,104,0.1,0%,180.0
2021-03-01,TATAMOTORS,341570.0,24620.0,142131.0,249795.0,-13395,-40.51,0%,13232.0
2021-03-01,VEDL,183496.0,16660.0,57669.0,88021.0,15032,31.21,30%,-263.0
2021-03-01,YESBANK,273593.0,43115.0,,,-3489,-1.39,0%,20895.0
2021-03-01,ZYDUSLIFE,23765.0,830.0,4608.0,14404.0,2185,20.84,17%,-90.0
2022-03-01,ADANIGREEN,58954.0,574.0,52832.0,5133.0,489,3.13,0%,383.0
2022-03-01,ADANIPORTS,98328.0,3161.0,47935.0,17119.0,4953,23.13,22%,4341.0
2022-03-01,BEL,33912.0,1572.0,53.0,15368.0,2400,3.28,46%,-1742.0
2022-03-01,BHEL,56991.0,205.0,4830.0,21211.0,445,1.28,31%,-787.0
2022-03-01,CDSL,1326.0,925.0,0.0,551.0,312,14.89,50%,44.0
2022-03-01,CIPLA,26857.0,2551.0,1056.0,21763.0,2547,31.19,16%,-132.0
2022-03-01,DRREDDY,29746.0,2616.0,3384.0,21545.0,2182,26.23,23%,3.0
2022-03-01,EXIDEIND,13902.0,5558.0,520.0,12789.0,4357,51.38,4%,-45.0
2022-03-01,HAL,60254.0,1363.0,49.0,24620.0,5080,75.96,26%,-4076.0
2022-03-01,HINDZINC,44670.0,15052.0,2844.0,29440.0,9629,22.79,79%,1279.0
2022-03-01,IDEA,194029.0,5.0,213761.0,38516.0,-28245,-8.79,0%,1103.0
2022-03-01,JMFINANCIL,25661.0,3639.0,13498.0,3724.0,992,8.1,20%,437.0
2022-03-01,KAYNES,622.0,2.0,189.0,706.0,42,9.03,0%,4.0
2022-03-01,KOLTEPATIL,3970.0,61.0,541.0,1117.0,85,10.45,19%,34.0
2022-03-01,KOTAKBANK,546498.0,164529.0,,,12089,60.91,2%,4949.0
2022-03-01,KPITTECH,2336.0,129.0,227.0,2432.0,276,10.0,31%,56.0
2022-03-01,LAURUSLABS,6968.0,31.0,1777.0,4936.0,832,15.4,13%,27.0
2022-03-01,MOTILALOFS,16860.0,4685.0,6152.0,4298.0,1312,21.97,11%,845.0
2022-03-01,NMDC,24912.0,895.0,1800.0,25965.0,9429,10.72,46%,-339.0
2022-03-01,PAYTM,17991.0,1230.0,222.0,4974.0,-2396,-36.9,0%,1334.0
2022-03-01,PGEL,1069.0,1.0,399.0,1112.0,37,1.74,0%,16.0
2022-03-01,PRAJIND,2218.0,463.0,21.0,2343.0,150,8.18,51%,6.0
2022-03-01,RELIANCE,1498622.0,394264.0,319158.0,694673.0,67845,44.87,9%,18781.0
2022-03-01,SAIL,120381.0,3757.0,17284.0,103477.0,12243,29.64,30%,-387.0
2022-03-01,SKIPPER,2084.0,7.0,575.0,1707.0,25,2.23,4%,0.0
2022-03-01,SUZLON,6475.0,0.0,6465.0,6582.0,-177,-0.17,0%,238.0
2022-03-01,TATAMOTORS,329061.0,29380.0,146449.0,278454.0,-11309,-34.46,0%,6459.0
