Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2023-03-01,MOTILALOFS,1027.0,165,2.78,69.68%,6.47%,6.28%,,17.58%
2023-03-01,NMDC,5851.0,2272,2.58,60.79%,7.33%,19.39%,,12.47%
2023-03-01,PAYTM,2334.0,-168,-2.66,,71.83%,3.19%,,24.98%
2023-03-01,PGEL,828.0,40,1.77,61.33%,1.97%,7.17%,,29.53%
2023-03-01,PRAJIND,1004.0,88,4.8,32.82%,17.83%,7.83%,,41.50%
2023-03-01,RELIANCE,212834.0,21327,14.26,50.41%,22.49%,16.06%,0.16%,10.89%
2023-03-01,SAIL,29131.0,1159,2.81,65.00%,4.69%,12.40%,0.00%,17.91%
2023-03-01,SKIPPER,657.0,24,2.1,71.89%,9.51%,0.11%,,18.48%
2023-03-01,SUZLON,1694.0,320,0.22,14.50%,7.64%,5.55%,0.00%,72.30%
2023-03-01,TATAMOTORS,105932.0,5496,16.28,46.39%,15.34%,17.69%,0.14%,20.41%
2023-03-01,VEDL,37930.0,3132,5.06,68.11%,7.89%,10.20%,0.07%,13.63%
2023-03-01,YESBANK,6218.0,206,0.07,,23.10%,37.77%,0.01%,39.10%
2023-03-01,ZYDUSLIFE,5011.0,358,2.93,74.98%,3.42%,13.51%,0.07%,8.01%
2023-06-01,ADANIGREEN,2162.0,323,2.03,56.27%,18.25%,1.47%,,24.00%
2023-06-01,ADANIPORTS,6248.0,2119,9.79,62.89%,16.99%,12.45%,0.00%,7.66%
2023-06-01,BEL,3533.0,539,0.74,51.14%,17.35%,24.84%,,6.68%
2023-06-01,BHEL,5003.0,-205,-0.59,63.17%,7.77%,16.36%,,12.71%
2023-06-01,CDSL,150.0,74,3.52,15.00%,15.10%,22.03%,,47.87%
2023-06-01,CIPLA,6329.0,998,12.33,33.46%,25.49%,24.05%,0.21%,16.76%
2023-06-01,DRREDDY,6758.0,1405,16.87,26.69%,26.99%,21.99%,,24.11%
2023-06-01,EXIDEIND,4245.0,224,2.62,45.99%,12.86%,19.77%,,21.36%
2023-06-01,HAL,3915.0,814,12.17,71.64%,11.90%,10.64%,0.00%,5.81%
2023-06-01,HINDZINC,7282.0,1964,4.65,64.92%,0.81%,2.95%,29.54%,1.77%
2023-06-01,IDEA,10656.0,-7840,-1.61,50.36%,2.29%,0.73%,33.18%,13.44%
2023-06-01,JMFINANCIL,1067.0,177,1.74,56.48%,20.72%,7.61%,,15.19%
2023-06-01,KAYNES,297.0,25,4.24,63.57%,7.96%,13.12%,,15.35%
2023-06-01,KOLTEPATIL,571.0,48,6.05,74.45%,1.54%,2.51%,,21.49%
2023-06-01,KOTAKBANK,12869.0,4150,20.88,25.94%,41.54%,19.57%,,12.92%
2023-06-01,KPITTECH,1098.0,134,4.89,39.47%,25.91%,11.78%,,21.55%
2023-06-01,LAURUSLABS,1182.0,27,0.46,27.20%,22.52%,10.36%,,39.93%
2023-06-01,MOTILALOFS,1502.0,528,8.9,69.66%,6.41%,6.11%,,17.84%
2023-06-01,NMDC,5395.0,1653,1.88,60.79%,6.99%,18.00%,,14.20%
2023-06-01,PAYTM,2342.0,-358,-5.63,,72.11%,3.54%,,24.35%
2023-06-01,PGEL,678.0,34,1.49,61.20%,3.13%,7.13%,,28.32%
2023-06-01,PRAJIND,737.0,59,3.19,32.82%,18.30%,8.40%,,40.48%
2023-06-01,RELIANCE,207559.0,18258,11.83,50.39%,22.55%,16.13%,0.17%,10.76%
2023-06-01,SAIL,24359.0,212,0.51,65.00%,3.82%,13.63%,0.00%,17.56%
2023-06-01,SKIPPER,555.0,16,1.44,71.89%,9.93%,0.28%,,17.89%
2023-06-01,SUZLON,1351.0,101,0.08,14.50%,7.79%,5.90%,0.02%,71.78%
2023-06-01,TATAMOTORS,102236.0,3301,9.64,46.39%,17.72%,17.38%,0.14%,18.38%
2023-06-01,VEDL,33733.0,3308,7.1,68.11%,7.48%,9.98%,0.07%,14.29%
2023-06-01,YESBANK,6445.0,347,0.12,,23.79%,37.72%,0.01%,38.47%
2023-06-01,ZYDUSLIFE,5140.0,1134,10.74,74.98%,4.04%,13.44%,0.07%,7.47%
2023-09-01,ADANIGREEN,2220.0,371,2.35,56.26%,18.16%,1.49%,,24.09%
2023-09-01,ADANIPORTS,6646.0,1762,8.09,65.53%,13.83%,13.27%,0.00%,7.37%
2023-09-01,BEL,4009.0,790,1.08,51.14%,17.19%,24.19%,,7.49%
2023-09-01,BHEL,5125.0,-63,-0.18,63.17%,7.23%,15.99%,,13.62%
2023-09-01,CDSL,207.0,109,5.21,15.00%,15.25%,21.80%,,47.94%
2023-09-01,CIPLA,6678.0,1155,14.01,33.46%,25.74%,23.90%,0.21%,16.68%
2023-09-01,DRREDDY,6903.0,1482,17.77,26.66%,28.19%,21.04%,,23.93%
2023-09-01,EXIDEIND,4372.0,270,3.17,45.99%,12.81%,19.05%,,22.14%
2023-09-01,HAL,5636.0,1237,18.49,71.64%,12.63%,9.72%,0.00%,6.02%
2023-09-01,HINDZINC,6791.0,1729,4.09,64.92%,0.75%,2.98%,29.54%,1.81%
2023-09-01,IDEA,10716.0,-8738,-1.79,50.36%,2.46%,1.80%,33.18%,12.19%
2023-09-01,JIOFIN,608.0,668,1.05,46.77%,21.58%,13.64%,0.13%,17.86%
2023-09-01,JMFINANCIL,1197.0,206,2.04,56.47%,18.82%,8.06%,,16.66%
2023-09-01,KAYNES,361.0,32,5.56,63.57%,9.90%,15.58%,,10.94%
2023-09-01,KOLTEPATIL,198.0,-26,-3.33,74.45%,2.64%,3.96%,,18.95%
2023-09-01,KOTAKBANK,13717.0,4461,22.45,25.92%,40.97%,20.00%,,13.11%
2023-09-01,KPITTECH,1199.0,141,5.14,39.47%,25.69%,12.25%,,21.46%
2023-09-01,LAURUSLABS,1224.0,37,0.69,27.20%,24.03%,11.01%,,37.75%
2023-09-01,MOTILALOFS,1655.0,532,8.96,69.53%,6.29%,6.29%,,17.90%
2023-09-01,NMDC,4014.0,1026,1.17,60.79%,8.32%,17.73%,,13.16%
2023-09-01,PAYTM,2519.0,-292,-4.58,,60.92%,4.05%,,35.02%
2023-09-01,PGEL,460.0,12,0.48,53.59%,8.96%,12.63%,,24.62%
2023-09-01,PRAJIND,882.0,62,3.39,32.82%,17.93%,10.20%,,39.04%
2023-09-01,RELIANCE,231886.0,19878,12.85,50.27%,22.60%,15.99%,0.17%,10.98%
2023-09-01,SAIL,29712.0,1306,3.16,65.00%,3.69%,14.61%,0.00%,16.70%
2023-09-01,SKIPPER,772.0,20,1.75,71.89%,8.09%,0.15%,,19.85%
2023-09-01,SUZLON,1421.0,102,0.08,13.28%,10.88%,9.81%,0.02%,65.99%
2023-09-01,TATAMOTORS,105129.0,3832,11.33,46.38%,18.40%,17.37%,0.14%,17.70%
2023-09-01,VEDL,38945.0,-915,-4.8,63.71%,7.82%,10.59%,0.07%,17.74%
2023-09-01,YESBANK,6714.0,229,0.08,,23.39%,40.68%,0.01%,35.90%
2023-09-01,ZYDUSLIFE,4369.0,803,7.91,74.98%,4.85%,13.01%,0.07%,7.07%
2023-12-01,ADANIGREEN,2311.0,256,1.62,56.37%,18.03%,1.50%,,24.10%
2023-12-01,ADANIPORTS,6920.0,2208,10.22,65.89%,14.72%,12.01%,0.00%,7.39%
2023-12-01,BEL,4162.0,860,1.18,51.14%,17.77%,23.37%,,7.72%
2023-12-01,BHEL,5504.0,60,0.17,63.17%,7.04%,17.58%,,12.23%
2023-12-01,CDSL,214.0,107,5.14,15.00%,18.16%,21.33%,,45.51%
2023-12-01,CIPLA,6604.0,1068,13.08,33.46%,25.73%,24.05%,0.21%,16.53%
2023-12-01,DRREDDY,7237.0,1381,16.56,26.65%,28.62%,18.65%,,25.89%
2023-12-01,EXIDEIND,3980.0,203,2.36,45.99%,12.94%,19.24%,,21.82%
2023-12-01,HAL,6061.0,1262,18.86,71.64%,12.93%,9.13%,0.00%,6.28%
2023-12-01,HINDZINC,7310.0,2028,4.8,64.92%,0.69%,2.97%,29.54%,1.88%
2023-12-01,IDEA,10673.0,-6986,-1.44,50.36%,2.27%,3.05%,33.18%,11.14%
2023-12-01,JIOFIN,414.0,294,0.46,47.12%,19.83%,12.99%,0.14%,19.92%
2023-12-01,JMFINANCIL,1236.0,322,2.91,56.44%,17.92%,8.46%,,17.17%
2023-12-01,KAYNES,509.0,45,7.07,57.83%,12.71%,19.04%,,10.41%
2023-12-01,KOLTEPATIL,76.0,-63,-8.27,74.45%,2.59%,4.51%,,18.45%
2023-12-01,KOTAKBANK,14495.0,4265,21.46,25.91%,39.74%,21.38%,,12.98%
2023-12-01,KPITTECH,1257.0,157,5.67,39.47%,26.48%,11.60%,,21.33%
2023-12-01,LAURUSLABS,1195.0,23,0.43,27.18%,25.39%,11.13%,,36.30%
2023-12-01,MOTILALOFS,1791.0,661,11.11,69.39%,6.48%,6.76%,,17.36%
2023-12-01,NMDC,5410.0,1482,1.69,60.79%,9.91%,17.33%,,11.96%
2023-12-01,PAYTM,2850.0,-222,-3.46,,63.72%,6.07%,,30.22%
2023-12-01,PGEL,532.0,19,0.74,53.59%,10.77%,12.36%,,23.27%
2023-12-01,PRAJIND,829.0,70,3.83,32.81%,17.37%,13.09%,,36.74%
2023-12-01,RELIANCE,225086.0,19641,12.76,50.30%,22.13%,16.59%,0.18%,10.80%
